Date,Open,High,Low,Close,Volume
2071-09-28,262.25,264.5,256.5,264.0,24433
2071-09-29,264.0,264.5,259.25,259.75,9910
2071-09-30,260.0,261.0,256.0,256.25,11384
2071-10-01,256.0,256.0,252.0,252.25,20913
2071-10-02,251.25,252.75,246.75,247.25,16994
2071-10-03,247.5,249.75,247.25,248.75,10305
2071-10-04,248.0,251.0,247.0,247.5,12012
2071-10-05,247.0,250.5,247.0,250.0,6334
2071-10-06,250.0,254.0,250.0,252.25,15351
2071-10-07,252.25,252.25,247.0,251.75,15924
2071-10-08,251.75,253.5,246.5,253.25,24170
2071-10-09,254.0,261.5,254.0,261.0,26042
2071-10-10,254.0,261.5,254.0,256.75,15176
2071-10-11,257.25,263.5,257.25,257.75,18597
2071-10-12,256.75,258.0,254.5,255.25,11482
2071-10-13,255.0,258.75,251.75,255.0,19161
2071-10-14,255.0,260.0,254.5,259.75,17845
2071-10-15,259.5,263.0,256.25,257.0,17447
2071-10-16,256.75,263.0,254.0,262.75,16126
2071-10-17,262.5,264.0,257.5,259.0,19833
2071-10-18,258.5,260.0,256.5,257.25,11142
2071-10-19,269.0,272.0,266.0,266.75,6874
2071-10-20,265.0,270.0,264.75,266.25,4972
2071-10-21,266.75,269.5,265.5,266.75,6219
2071-10-22,266.5,270.0,262.0,262.5,6799
2071-10-23,262.0,264.0,261.25,263.75,7507
2071-10-24,263.5,264.5,260.25,262.0,8907
2071-10-25,261.75,266.5,261.75,264.0,12178
2071-10-26,264.0,268.0,263.0,265.75,16760
2071-10-27,266.0,269.5,263.25,263.75,28948
2071-10-28,264.0,265.0,260.5,264.25,21744
2071-10-29,265.0,265.75,258.0,258.75,18423
2071-10-30,259.5,261.0,251.5,251.75,23466
2071-10-31,250.0,250.0,246.5,247.25,22200
2071-11-01,247.25,250.5,245.75,249.25,14625
2071-11-02,248.75,250.0,245.75,246.0,13277
2071-11-03,246.0,246.5,242.75,243.75,12014
2071-11-04,244.0,245.5,240.75,244.0,12616
2071-11-05,243.75,246.0,242.5,243.0,10376
2071-11-06,243.0,246.0,240.75,244.25,10694
2071-11-07,243.75,249.0,242.5,245.25,12249
2071-11-08,245.25,246.0,241.0,242.75,10008
2071-11-09,243.25,247.5,243.25,245.25,7183
2071-11-10,247.25,250.5,246.0,247.25,11845
2071-11-11,247.0,254.75,247.0,253.75,17174
2071-11-12,253.5,260.5,250.5,252.75,17577
2071-11-13,253.0,263.25,253.0,262.5,15147
2071-11-14,261.0,261.0,255.0,258.5,9348
2071-11-15,258.0,259.5,250.25,252.0,10445
2071-11-16,251.75,259.0,251.75,256.5,8554
2071-11-17,254.5,261.0,254.5,257.5,7750
2071-11-18,257.5,264.0,256.5,263.75,6293
2071-11-19,264.0,283.75,264.0,282.75,17643
2071-11-20,282.0,286.75,271.0,272.0,14017
2071-11-21,271.25,276.75,269.0,276.5,4978
2071-11-22,276.5,279.0,271.5,278.5,9300
2071-11-23,278.0,281.5,275.0,279.25,7056
2071-11-24,277.5,280.0,275.5,279.5,5933
2071-11-25,280.0,283.0,279.0,279.25,7080
2071-11-26,279.25,279.25,272.0,272.75,7908
2071-11-27,272.75,272.75,260.0,263.5,11075
2071-11-28,263.0,268.75,263.0,268.25,5202
2071-11-29,267.75,271.0,267.5,268.75,3423
2071-11-30,269.75,274.75,268.5,269.0,4469
2071-12-01,284.75,289.5,282.0,287.5,14101
2071-12-02,287.5,291.0,286.5,289.25,15000
2071-12-03,289.0,290.25,286.0,286.5,11253
2071-12-04,287.0,288.5,282.0,288.0,15615
2071-12-05,289.0,289.75,283.5,284.5,16877
2071-12-06,284.5,287.0,280.0,286.5,19034
2071-12-07,285.5,287.0,282.5,283.5,11434
2071-12-08,282.0,283.5,278.5,279.5,19851
2071-12-09,278.5,281.0,276.0,277.0,24942
2071-12-10,278.25,283.0,277.0,282.25,25737
2071-12-11,281.75,285.0,281.5,283.75,18574
2071-12-12,284.5,287.5,280.25,286.25,21297
2071-12-13,287.5,290.0,286.0,289.0,20134
2071-12-14,289.25,296.0,289.25,292.75,23275
2071-12-15,292.0,292.0,285.5,286.0,18899
2071-12-16,286.0,287.5,284.75,285.25,13841
2071-12-17,285.25,289.0,283.0,288.5,14946
2071-12-18,288.5,291.5,287.0,288.0,15765
2071-12-19,288.0,289.0,286.0,288.0,12745
2071-12-20,288.0,289.0,274.0,274.5,45152
2071-12-21,274.0,276.75,271.5,276.25,21662
2071-12-22,276.0,278.5,273.0,275.5,14690
2071-12-23,275.5,276.5,272.0,272.25,10585
2071-12-24,272.0,274.5,268.5,270.25,23676
2071-12-25,270.75,272.5,269.25,269.75,11501
2071-12-26,269.75,273.75,267.0,273.25,19155
2071-12-27,273.25,278.5,273.0,277.75,19263
2071-12-28,277.0,282.5,273.5,279.75,22054
2071-12-29,279.75,286.5,278.75,285.75,25219
2071-12-30,285.75,290.0,284.0,284.25,26134
2071-12-31,284.25,284.5,275.0,275.75,21308
2072-01-01,276.0,276.75,266.0,267.0,26946
2072-01-02,266.0,269.5,262.0,268.75,25784
2072-01-03,269.0,269.5,264.0,264.5,10061
2072-01-04,264.5,265.5,259.0,264.25,25442
2072-01-05,264.5,264.5,258.5,258.75,15254
2072-01-06,259.75,261.0,253.5,254.75,26262
2072-01-07,254.0,259.5,254.0,257.5,15610
2072-01-08,257.5,259.0,254.5,255.5,13344
2072-01-09,255.25,257.25,253.75,255.5,8873
2072-01-10,255.0,258.5,253.25,256.5,14580
2072-01-11,256.25,262.0,254.75,260.25,13916
2072-01-12,260.5,264.0,260.0,263.0,14353
2072-01-13,263.25,264.75,257.5,257.75,19845
2072-01-14,257.75,258.5,254.5,257.0,12685
2072-01-15,257.0,259.75,255.0,258.0,10945
2072-01-16,257.5,262.5,257.5,262.0,12907
2072-01-17,262.5,266.0,256.5,256.75,20539
2072-01-18,256.5,259.75,255.0,256.5,13040
2072-01-19,257.0,259.75,256.5,257.25,11690
2072-01-20,257.25,257.5,252.0,255.75,19092
2072-01-21,255.25,257.0,251.0,252.0,11167
2072-01-22,252.75,256.0,252.75,255.25,10760
2072-01-23,255.25,261.0,254.0,259.25,25706
2072-01-24,260.5,261.5,258.0,259.25,10442
2072-01-25,259.0,261.0,254.5,256.0,15629
2072-01-26,256.75,260.0,256.5,258.75,10495
2072-01-27,259.75,261.0,253.0,253.5,15193
2072-01-28,253.75,254.25,247.5,248.0,23227
2072-01-29,247.0,248.0,244.0,244.25,8413
2072-01-30,244.5,250.25,244.5,250.0,17092
2072-01-31,252.0,253.25,249.0,250.75,14560
2072-02-01,267.0,267.25,261.0,261.5,6570
2072-02-02,260.25,260.75,256.0,256.25,12440
2072-02-03,256.25,260.0,253.25,258.5,12547
2072-02-04,258.5,259.75,257.0,259.25,7741
2072-02-05,258.0,261.0,255.0,259.25,17181
2072-02-06,260.0,260.75,255.0,255.25,19319
2072-02-07,252.0,254.0,246.75,248.25,39086
2072-02-08,249.25,251.0,248.0,249.5,20271
2072-02-09,250.0,253.75,250.0,251.5,23257
2072-02-10,252.0,253.25,246.5,247.25,23401
2072-02-11,247.0,248.0,242.0,242.75,24706
2072-02-12,242.75,248.5,242.5,247.75,20959
2072-02-13,247.5,248.0,244.75,245.75,12305
2072-02-14,237.5,243.0,237.5,241.25,14175
2072-02-15,242.75,243.75,239.75,241.25,9811
2072-02-16,241.25,247.0,241.0,243.75,20167
2072-02-17,244.25,247.5,243.5,246.25,9898
2072-02-18,247.25,250.0,247.25,249.0,9757
2072-02-19,249.0,249.75,245.5,246.0,9236
2072-02-20,246.5,248.5,244.75,248.0,5858
2072-02-21,248.0,250.75,247.0,249.75,8341
2072-02-22,250.5,253.5,245.5,247.0,10912
2072-02-23,247.25,248.0,245.0,247.25,7597
2072-02-24,247.25,248.5,246.5,246.75,4725
2072-02-25,246.5,250.0,246.5,248.5,10610
2072-02-26,247.5,248.0,241.0,247.25,21173
2072-02-27,247.25,250.0,246.0,249.75,14710
2072-02-28,250.0,251.0,247.5,248.5,13676
2072-02-29,248.25,252.0,246.0,251.75,16470
2072-03-01,251.25,255.0,248.75,253.5,18407
2072-03-02,253.5,256.0,251.5,253.75,17507
2072-03-03,253.75,260.0,252.25,258.75,21316
2072-03-04,258.25,263.75,257.0,263.5,21220
2072-03-05,262.75,267.75,261.25,265.0,27429
2072-03-06,261.5,265.5,261.0,264.5,14233
2072-03-07,265.0,267.0,263.0,266.0,12109
2072-03-08,265.5,265.75,262.5,265.0,14764
2072-03-09,265.25,266.25,261.5,264.25,13981
2072-03-10,265.5,269.0,265.0,266.0,17626
2072-03-11,265.25,266.75,263.0,264.75,11579
2072-03-12,264.5,264.75,259.0,260.0,17875
2072-03-13,260.0,264.0,256.5,263.5,26298
2072-03-14,263.75,264.75,259.0,259.75,15926
2072-03-15,256.0,260.0,254.25,258.0,11347
2072-03-16,258.0,260.0,256.5,257.25,9083
2072-03-17,257.0,257.0,253.0,253.75,17194
2072-03-18,253.0,257.5,249.0,257.0,21559
2072-03-19,259.0,260.75,257.0,258.75,16378
2072-03-20,259.0,260.25,256.5,259.25,12208
2072-03-21,258.0,266.0,257.0,265.5,24312
2072-03-22,265.0,273.5,265.0,271.75,35791
2072-03-23,272.75,273.5,267.5,269.5,35626
2072-03-24,269.0,272.75,268.0,268.75,12204
2072-03-25,269.5,269.5,265.0,266.0,16493
2072-03-26,266.0,268.0,263.25,265.25,21644
2072-03-27,273.25,276.75,272.75,276.25,5984
2072-03-28,276.5,278.0,273.75,274.25,12231
2072-03-29,274.25,274.5,266.0,266.5,23030
2072-03-30,266.25,269.5,265.5,267.25,16503
2072-03-31,267.0,272.5,259.0,259.25,28658
2072-04-01,259.5,262.0,255.0,256.75,33585
2072-04-02,256.75,260.5,256.5,259.0,17391
2072-04-03,259.0,262.25,258.0,259.75,17953
2072-04-04,259.75,260.0,256.0,258.25,19266
2072-04-05,258.25,261.5,257.25,258.25,10494
2072-04-06,257.5,262.0,256.5,260.5,13116
2072-04-07,260.5,263.5,259.5,259.75,13015
2072-04-08,263.75,271.75,263.75,271.0,22095
2072-04-09,271.0,271.5,267.25,268.75,11503
2072-04-10,268.25,270.0,266.0,266.25,11960
2072-04-11,266.25,273.0,266.0,272.25,17957
2072-04-12,267.5,268.25,266.0,266.25,10129
2072-04-13,266.25,266.25,259.25,260.25,19367
2072-04-14,260.75,263.0,258.0,261.75,11759
2072-04-15,262.75,262.75,256.0,256.25,15736
2072-04-16,256.25,258.5,252.0,252.75,20106
2072-04-17,254.0,256.0,252.75,254.5,6304
2072-04-18,255.0,255.0,249.5,249.75,10171
2072-04-19,251.0,252.0,248.5,251.25,6859
2072-04-20,251.75,256.5,251.0,255.5,8594
2072-04-21,255.5,263.5,254.75,262.25,20974
2072-04-22,262.75,267.0,257.0,257.75,15617
2072-04-23,257.75,259.5,254.0,255.75,6555
2072-04-24,256.5,258.0,253.75,256.25,7049
2072-04-25,256.5,257.0,252.25,253.75,7556
2072-04-26,254.25,259.0,251.0,258.5,6911
2072-04-27,257.75,257.75,252.5,252.75,8395
2072-04-28,252.5,255.0,251.5,252.75,7490
2072-04-29,252.5,256.5,251.75,255.5,7794
2072-04-30,255.5,258.75,254.5,257.75,8143
2072-05-01,257.5,261.0,255.25,255.75,5389
2072-05-02,253.25,256.0,249.5,252.25,9474
2072-05-03,264.0,265.5,261.5,265.25,14046
2072-05-04,265.0,266.0,259.5,263.0,15873
2072-05-05,263.0,265.0,261.0,263.0,10926
2072-05-06,263.5,265.75,263.0,265.0,13963
2072-05-07,265.25,268.5,260.5,261.0,25630
2072-05-08,260.5,260.5,253.0,254.0,41246
