run_dir,p_sigma_q_low,p_sigma_q_high,p_mult_mid,p_mult_high,true_pd_ratio,open_pnl_pd_ratio,activity_pct,final_value,bankrupt
run_20260314_IS_086,0.25,0.8,0.6,0.3,-0.9318617443074385,-0.9019242467054952,5.86552217453505,906771.5060000003,0
run_20260314_IS_087,0.25,0.8,0.6,0.4,-0.9318617443074385,-0.9019242467054952,5.86552217453505,906771.5060000003,0
run_20260314_IS_088,0.25,0.8,0.6,0.5,-0.9318617443074385,-0.9019242467054952,5.86552217453505,906771.5060000003,0
run_20260314_IS_089,0.25,0.8,0.7,0.2,-0.9322904032832978,-0.9026311815241987,5.86552217453505,906190.4560000002,0
run_20260314_IS_090,0.25,0.8,0.7,0.3,-0.9322904032832978,-0.9026311815241987,5.86552217453505,906190.4560000002,0
run_20260314_IS_091,0.25,0.8,0.7,0.4,-0.9322904032832978,-0.9026311815241987,5.86552217453505,906190.4560000002,0
run_20260314_IS_092,0.25,0.8,0.7,0.5,-0.9322904032832978,-0.9026311815241987,5.86552217453505,906190.4560000002,0
run_20260314_IS_093,0.25,0.8,0.8,0.2,-0.9329077964370891,-0.9035933426515477,5.86552217453505,905345.1584,0
run_20260314_IS_094,0.25,0.8,0.8,0.3,-0.9329077964370891,-0.9035933426515477,5.86552217453505,905345.1584,0
run_20260314_IS_095,0.25,0.8,0.8,0.4,-0.9329077964370891,-0.9035933426515477,5.86552217453505,905345.1584,0
run_20260314_IS_096,0.25,0.8,0.8,0.5,-0.9329077964370891,-0.9035933426515477,5.86552217453505,905345.1584,0
run_20260314_IS_097,0.25,0.85,0.5,0.2,-0.9314350162424729,-0.9012180662919138,5.86552217453505,907343.6238000004,0
run_20260314_IS_098,0.25,0.85,0.5,0.3,-0.9314350162424729,-0.9012180662919138,5.86552217453505,907343.6238000004,0
run_20260314_IS_099,0.25,0.85,0.5,0.4,-0.9314350162424729,-0.9012180662919138,5.86552217453505,907343.6238000004,0
run_20260314_IS_100,0.25,0.85,0.5,0.5,-0.9314350162424729,-0.9012180662919138,5.86552217453505,907343.6238000004,0
run_20260314_IS_101,0.25,0.85,0.6,0.2,-0.9318617443074385,-0.9019242467054952,5.86552217453505,906771.5060000003,0
run_20260314_IS_102,0.25,0.85,0.6,0.3,-0.9318617443074385,-0.9019242467054952,5.86552217453505,906771.5060000003,0
run_20260314_IS_103,0.25,0.85,0.6,0.4,-0.9318617443074385,-0.9019242467054952,5.86552217453505,906771.5060000003,0
run_20260314_IS_104,0.25,0.85,0.6,0.5,-0.9318617443074385,-0.9019242467054952,5.86552217453505,906771.5060000003,0
run_20260314_IS_105,0.25,0.85,0.7,0.2,-0.9322904032832978,-0.9026311815241987,5.86552217453505,906190.4560000002,0
run_20260314_IS_106,0.25,0.85,0.7,0.3,-0.9322904032832978,-0.9026311815241987,5.86552217453505,906190.4560000002,0
run_20260314_IS_107,0.25,0.85,0.7,0.4,-0.9322904032832978,-0.9026311815241987,5.86552217453505,906190.4560000002,0
run_20260314_IS_108,0.25,0.85,0.7,0.5,-0.9322904032832978,-0.9026311815241987,5.86552217453505,906190.4560000002,0
run_20260314_IS_109,0.25,0.85,0.8,0.2,-0.9329077964370891,-0.9035933426515477,5.86552217453505,905345.1584,0
run_20260314_IS_110,0.25,0.85,0.8,0.3,-0.9329077964370891,-0.9035933426515477,5.86552217453505,905345.1584,0
run_20260314_IS_111,0.25,0.85,0.8,0.4,-0.9329077964370891,-0.9035933426515477,5.86552217453505,905345.1584,0
run_20260314_IS_112,0.25,0.85,0.8,0.5,-0.9329077964370891,-0.9035933426515477,5.86552217453505,905345.1584,0
run_20260314_IS_113,0.25,0.9,0.5,0.2,-0.9330761131552675,-0.9033852053262716,6.008583690987124,905135.7071999998,0
run_20260314_IS_114,0.25,0.9,0.5,0.3,-0.9330761131552675,-0.9033852053262716,6.008583690987124,905135.7071999998,0
run_20260314_IS_115,0.25,0.9,0.5,0.4,-0.9330761131552675,-0.9033852053262716,6.008583690987124,905135.7071999998,0
run_20260314_IS_116,0.25,0.9,0.5,0.5,-0.9330761131552675,-0.9033852053262716,6.008583690987124,905135.7071999998,0
run_20260314_IS_117,0.25,0.9,0.6,0.2,-0.9337998523416262,-0.9044799268207915,6.008583690987124,904123.5130000003,0
run_20260314_IS_118,0.25,0.9,0.6,0.3,-0.9337998523416262,-0.9044799268207915,6.008583690987124,904123.5130000003,0
run_20260314_IS_119,0.25,0.9,0.6,0.4,-0.9337998523416262,-0.9044799268207915,6.008583690987124,904123.5130000003,0
run_20260314_IS_120,0.25,0.9,0.6,0.5,-0.9337998523416262,-0.9044799268207915,6.008583690987124,904123.5130000003,0
run_20260314_IS_121,0.25,0.9,0.7,0.2,-0.9345151645878399,-0.9055606217165828,6.008583690987124,903103.0136000002,0
run_20260314_IS_122,0.25,0.9,0.7,0.3,-0.9345151645878399,-0.9055606217165828,6.008583690987124,903103.0136000002,0
run_20260314_IS_123,0.25,0.9,0.7,0.4,-0.9345151645878399,-0.9055606217165828,6.008583690987124,903103.0136000002,0
run_20260314_IS_124,0.25,0.9,0.7,0.5,-0.9345151645878399,-0.9055606217165828,6.008583690987124,903103.0136000002,0
run_20260314_IS_125,0.25,0.9,0.8,0.2,-0.9353964904396184,-0.9068665440790306,6.008583690987124,901819.9788000002,0
run_20260314_IS_126,0.25,0.9,0.8,0.3,-0.9353964904396184,-0.9068665440790306,6.008583690987124,901819.9788000002,0
run_20260314_IS_127,0.25,0.9,0.8,0.4,-0.9353964904396184,-0.9068665440790306,6.008583690987124,901819.9788000002,0
run_20260314_IS_128,0.25,0.9,0.8,0.5,-0.9353964904396184,-0.9068665440790306,6.008583690987124,901819.9788000002,0
run_20260314_IS_129,0.3,0.75,0.5,0.2,-0.9224514747520757,-0.8877758179266146,5.86552217453505,917859.2192000002,0
run_20260314_IS_130,0.3,0.75,0.5,0.3,-0.9224514747520757,-0.8877758179266146,5.86552217453505,917859.2192000002,0
run_20260314_IS_131,0.3,0.75,0.5,0.4,-0.9224514747520757,-0.8877758179266146,5.86552217453505,917859.2192000002,0
run_20260314_IS_132,0.3,0.75,0.5,0.5,-0.9224514747520757,-0.8877758179266146,5.86552217453505,917859.2192000002,0
run_20260314_IS_133,0.3,0.75,0.6,0.2,-0.9249387887152063,-0.8915872519238869,5.86552217453505,915164.2976000002,0
run_20260314_IS_134,0.3,0.75,0.6,0.3,-0.9249387887152063,-0.8915872519238869,5.86552217453505,915164.2976000002,0
run_20260314_IS_135,0.3,0.75,0.6,0.4,-0.9249387887152063,-0.8915872519238869,5.86552217453505,915164.2976000002,0
run_20260314_IS_136,0.3,0.75,0.6,0.5,-0.9249387887152063,-0.8915872519238869,5.86552217453505,915164.2976000002,0
run_20260314_IS_137,0.3,0.75,0.7,0.2,-0.9272819976547784,-0.8951641134513451,5.86552217453505,912472.9882000003,0
run_20260314_IS_138,0.3,0.75,0.7,0.3,-0.9272819976547784,-0.8951641134513451,5.86552217453505,912472.9882000003,0
run_20260314_IS_139,0.3,0.75,0.7,0.4,-0.9272819976547784,-0.8951641134513451,5.86552217453505,912472.9882000003,0
run_20260314_IS_140,0.3,0.75,0.7,0.5,-0.9272819976547784,-0.8951641134513451,5.86552217453505,912472.9882000003,0
run_20260314_IS_141,0.3,0.75,0.8,0.2,-0.9296972212947151,-0.8988060432847284,5.86552217453505,909529.6214000001,0
run_20260314_IS_142,0.3,0.75,0.8,0.3,-0.9296972212947151,-0.8988060432847284,5.86552217453505,909529.6214000001,0
run_20260314_IS_143,0.3,0.75,0.8,0.4,-0.9296972212947151,-0.8988060432847284,5.86552217453505,909529.6214000001,0
run_20260314_IS_144,0.3,0.75,0.8,0.5,-0.9296972212947151,-0.8988060432847284,5.86552217453505,909529.6214000001,0
run_20260314_IS_145,0.3,0.8,0.5,0.2,-0.9224514747520757,-0.8877758179266146,5.86552217453505,917859.2192000002,0
run_20260314_IS_146,0.3,0.8,0.5,0.3,-0.9224514747520757,-0.8877758179266146,5.86552217453505,917859.2192000002,0
run_20260314_IS_147,0.3,0.8,0.5,0.4,-0.9224514747520757,-0.8877758179266146,5.86552217453505,917859.2192000002,0
run_20260314_IS_148,0.3,0.8,0.5,0.5,-0.9224514747520757,-0.8877758179266146,5.86552217453505,917859.2192000002,0
run_20260314_IS_149,0.3,0.8,0.6,0.2,-0.9249387887152063,-0.8915872519238869,5.86552217453505,915164.2976000002,0
