Index,Open,High,Low,Close,Volume
2072-03-12,94.5,94.609398,94.390602,94.609398,4652
2072-03-13,94.609398,94.765602,94.5625,94.578102,20840
2072-03-14,94.609398,94.890602,93.984398,94.890602,17211
2072-03-15,94.75,95.1875,94.75,95.093803,13847
2072-03-16,95.093803,95.218803,94.875,95.218803,18871
2072-03-17,95.25,95.875,94.9375,95.859398,22710
2072-03-18,95.843803,96.25,95.468803,95.468803,33545
2072-03-19,95.375,95.375,94.781197,94.781197,25155
2072-03-20,94.781197,95.140602,94.734398,95.109398,12725
2072-03-21,95.125,95.265602,94.593803,94.593803,17983
2072-03-22,94.6875,94.921898,94.203102,94.203102,19100
2072-03-23,94.171898,94.4375,94.078102,94.406197,10621
2072-03-24,94.4375,95.0,94.406197,95.0,14389
2072-03-25,94.984398,95.031197,94.796898,94.796898,7172
2072-03-26,94.765602,94.828102,94.656197,94.781197,17979
2072-03-27,94.578102,95.078102,94.5625,95.078102,22999
2072-03-28,95.25,96.109398,95.25,96.109398,14603
2072-03-29,96.015602,96.046898,95.5625,95.5625,5636
2072-03-30,95.578102,96.203102,95.578102,96.203102,23000
2072-03-31,96.125,96.359398,96.0,96.015602,20476
2072-04-01,96.296898,96.359398,95.953102,96.328102,27080
2072-04-02,95.656197,95.734398,95.5625,95.5625,13434
2072-04-03,95.406197,95.8125,95.359398,95.531197,515004
2072-04-04,95.578102,95.593803,95.281197,95.375,244389
2072-04-05,95.484398,95.609398,95.453102,95.5,552763
2072-04-06,95.578102,95.6875,95.406197,95.609398,323687
2072-04-07,95.453102,95.578102,95.375,95.406197,60805
2072-04-08,95.8125,96.203102,95.593803,95.593803,291840
2072-04-09,96.25,96.5,96.171898,96.203102,48937
2072-04-10,96.421898,96.5,96.343803,96.468803,34681
2072-04-11,96.656197,96.875,96.593803,96.875,219298
2072-04-12,97.046898,97.0625,96.765602,96.765602,541975
2072-04-13,96.984398,97.156197,96.843803,97.156197,537336
2072-04-14,97.234398,97.328102,97.031197,97.1875,82149
2072-04-15,97.25,97.656197,97.171898,97.593803,145582
2072-04-16,97.421898,97.468803,96.8125,97.156197,157425
2072-04-17,96.6875,96.75,96.421898,96.421898,250317
2072-04-18,96.8125,96.984398,96.578102,96.718803,542128
2072-04-19,97.0,97.156197,97.0,97.078102,551470
2072-04-20,97.046898,97.765602,96.953102,97.765602,132248
2072-04-21,97.859398,98.046898,97.671898,97.718803,46067
2072-04-22,98.171898,98.234398,97.9375,98.093803,49153
2072-04-23,98.296898,99.0,98.140602,98.5,160532
2072-04-24,98.843803,99.406197,98.593803,99.375,307606
2072-04-25,98.75,98.890602,98.390602,98.390602,191704
2072-04-26,98.531197,98.546898,98.25,98.328102,306036
2072-04-27,98.859398,99.125,98.781197,98.9375,438624
2072-04-28,99.25,99.4375,98.4375,99.156197,93167
2072-04-29,98.546898,98.656197,97.921898,98.3125,212473
2072-04-30,97.953102,98.25,97.796898,97.8125,415886
2072-05-01,98.25,98.484398,98.109398,98.296898,162391
2072-05-02,97.859398,98.093803,97.531197,97.625,526393
2072-05-03,97.781197,97.859398,97.5625,97.6875,385348
2072-05-04,98.3125,98.343803,98.093803,98.1875,505639
2072-05-05,98.234398,98.359398,98.171898,98.25,314262
2072-05-06,98.234398,98.234398,97.5625,97.5625,439215
2072-05-07,97.5,97.734398,97.453102,97.546898,86811
2072-05-08,97.531197,97.75,97.515602,97.625,259146
2072-05-09,96.875,97.078102,96.6875,97.078102,253556
2072-05-10,96.9375,96.953102,96.765602,96.875,360975
2072-05-11,96.703102,96.781197,96.406197,96.406197,74064
2072-05-12,96.406197,96.593803,96.0,96.3125,75297
2072-05-13,96.0,96.093803,95.781197,95.875,434607
2072-05-14,95.625,95.953102,95.390602,95.859398,139029
2072-05-15,95.296898,95.468803,95.015602,95.015602,515736
2072-05-16,94.9375,95.218803,94.9375,95.125,198141
2072-05-17,95.203102,95.593803,95.203102,95.375,537011
2072-05-18,95.734398,96.203102,95.734398,95.875,342187
2072-05-19,95.890602,97.0,95.765602,96.0,485607
2072-05-20,95.218803,95.531197,95.171898,95.281197,452147
2072-05-21,95.5625,95.968803,95.531197,95.968803,136684
2072-05-22,95.781197,95.906197,95.453102,95.5,526711
2072-05-23,95.4375,95.515602,94.906197,95.3125,71204
2072-05-24,94.9375,95.078102,94.8125,95.078102,141008
2072-05-25,95.375,95.875,95.375,95.390602,413466
2072-05-26,95.828102,95.875,95.640602,95.765602,188773
2072-05-27,95.8125,96.046898,95.656197,95.796898,234834
2072-05-28,95.640602,95.671898,95.5,95.531197,65278
2072-05-29,96.265602,96.375,96.156197,96.156197,455943
2072-05-30,96.656197,96.703102,96.468803,96.625,282635
2072-05-31,96.453102,96.546898,96.390602,96.5,35554
2072-06-01,97.281197,97.343803,97.281197,97.328102,14113
2072-06-02,97.281197,98.6875,97.218803,97.375,14168
2072-06-03,97.859398,97.859398,97.843803,97.843803,19866
2072-06-04,97.765602,97.765602,97.75,97.75,12289
2072-06-05,97.75,97.75,97.734398,97.75,13054
2072-06-06,97.765602,97.765602,97.703102,97.734398,11694
2072-06-07,97.765602,97.843803,97.6875,97.765602,14403
2072-06-08,98.015602,98.015602,98.0,98.0,12722
2072-06-09,97.8125,97.828102,97.8125,97.828102,2656
2072-06-10,98.375,98.390602,98.375,98.390602,7128
2072-06-11,97.8125,97.8125,97.8125,97.8125,11774
2072-06-12,97.75,97.765602,97.75,97.75,18299
2072-06-13,97.75,97.906197,97.718803,97.8125,13987
2072-06-14,97.921898,97.921898,97.906197,97.906197,12913
2072-06-15,97.968803,97.968803,97.968803,97.968803,8218
2072-06-16,97.906197,97.921898,97.890602,97.921898,16460
2072-06-17,98.343803,98.406197,98.343803,98.390602,12134
2072-06-18,98.343803,98.546898,98.343803,98.5,16891
2072-06-19,98.968803,98.968803,98.968803,98.968803,6089
2072-06-20,98.546898,98.546898,98.531197,98.531197,19740
2072-06-21,98.546898,98.953102,98.406197,98.625,21157
2072-06-22,98.6875,98.703102,98.6875,98.703102,17330
2072-06-23,98.578102,98.593803,98.578102,98.593803,8771
2072-06-24,98.359398,98.375,98.359398,98.375,11544
2072-06-25,98.921898,98.968803,98.921898,98.9375,13300
2072-06-26,98.921898,99.125,98.171898,98.171898,12064
2072-06-27,97.796898,97.796898,97.781197,97.781197,16117
2072-06-28,97.875,97.875,97.875,97.875,14091
2072-06-29,97.843803,97.859398,97.843803,97.859398,21571
2072-06-30,98.859398,98.859398,98.843803,98.859398,14855
2072-07-01,98.859398,98.906197,98.703102,98.843803,8427
2072-07-02,98.656197,98.718803,98.656197,98.703102,19250
2072-07-03,98.75,98.75,98.75,98.75,6931
2072-07-04,98.8125,98.8125,98.796898,98.8125,19505
2072-07-05,99.046898,99.046898,99.015602,99.015602,13808
2072-07-06,99.046898,99.109398,98.953102,99.0,9567
2072-07-07,98.843803,98.859398,98.843803,98.859398,14627
2072-07-08,99.203102,99.218803,99.203102,99.218803,6949
2072-07-09,99.359398,99.359398,99.3125,99.359398,12900
2072-07-10,99.5,99.515602,99.5,99.515602,20049
2072-07-11,99.5,99.609398,99.484398,99.531197,25762
2072-07-12,99.5,99.515602,99.5,99.515602,10384
2072-07-13,99.765602,99.765602,99.75,99.765602,11295
2072-07-14,99.8125,99.8125,99.796898,99.8125,15467
