run_dir,p_ema_short,p_ema_long,p_hurst_min_soft,true_pd_ratio,open_pnl_pd_ratio,activity_pct,final_value,bankrupt
run_20260313_IS_060,12,50,0.6,-0.05219388051496547,0.5676909169041622,26.895565092989987,997836.078196551,0
run_20260313_IS_061,12,60,0.4,1.1002660369210455,1.567427476907603,48.21173104434907,1497948.8242569584,0
run_20260313_IS_062,12,60,0.45,1.100444638707772,1.5675829029268178,48.21173104434907,1477786.9019022267,0
run_20260313_IS_063,12,60,0.5,1.1006977553312434,1.5678047823021026,48.21173104434907,1453668.7340028659,0
run_20260313_IS_064,12,60,0.55,1.1010213819918246,1.568086853986485,48.21173104434907,1424096.001603812,0
run_20260313_IS_065,12,60,0.6,1.1014936660551704,1.5684997630801785,48.21173104434907,1387053.0754890712,0
run_20260313_IS_066,12,70,0.4,-0.14495780342301373,0.349518403644134,22.031473533619458,992808.1826766327,0
run_20260313_IS_067,12,70,0.45,-0.14541667262544958,0.3468067066625365,22.031473533619458,993082.8398964666,0
run_20260313_IS_068,12,70,0.5,-0.14617023378067093,0.3430552797252072,22.031473533619458,993406.7863335414,0
run_20260313_IS_069,12,70,0.55,-0.14715665257209687,0.3379323903486724,22.031473533619458,993805.4686046905,0
run_20260313_IS_070,12,70,0.6,-0.1487860765738778,0.33014789565949487,22.031473533619458,994298.5449143582,0
run_20260313_IS_071,12,80,0.4,-0.6501589096160892,-0.5041325999263991,4.571428571428571,978969.1884885997,0
run_20260313_IS_072,12,80,0.45,-0.6499349928733935,-0.5036897948046177,4.571428571428571,979861.2801264,0
run_20260313_IS_073,12,80,0.5,-0.6496589494138416,-0.5031341677667023,4.571428571428571,980931.2763777998,0
run_20260313_IS_074,12,80,0.55,-0.6492250011133773,-0.5022948194990965,4.571428571428571,982241.4682262,0
run_20260313_IS_075,12,80,0.6,-0.6486099593480243,-0.5010842514170327,4.571428571428571,983879.5829465999,0
run_20260313_IS_076,15,40,0.4,-0.7417838435918435,-0.32004667131966064,10.44349070100143,970771.351142514,0
run_20260313_IS_077,15,40,0.45,-0.7437550536997974,-0.3252980127023311,10.44349070100143,971906.7686137229,0
run_20260313_IS_078,15,40,0.5,-0.7463672436361503,-0.3322889982154405,10.44349070100143,973269.8341665213,0
run_20260313_IS_079,15,40,0.55,-0.7499610903190472,-0.3419104497524695,10.44349070100143,974937.3899530278,0
run_20260313_IS_080,15,40,0.6,-0.7552972683575752,-0.3562227346268785,10.44349070100143,977026.3496687512,0
run_20260313_IS_081,15,50,0.4,0.08511629743410883,0.81178038367257,26.180257510729614,1004596.0270552025,0
run_20260313_IS_082,15,50,0.45,0.09069410398283696,0.8177542475440409,26.180257510729614,1004705.7574319639,0
run_20260313_IS_083,15,50,0.5,0.09795877907571215,0.8254691410365791,26.180257510729614,1004833.982178271,0
run_20260313_IS_084,15,50,0.55,0.10783605208034867,0.8359815819885549,26.180257510729614,1004985.9872567642,0
run_20260313_IS_085,15,50,0.6,0.12214675853323362,0.851178526118788,26.180257510729614,1005171.6426373662,0
run_20260313_IS_086,15,60,0.4,-0.8438864473097963,-0.623971561729412,14.735336194563663,925786.2882760501,0
run_20260313_IS_087,15,60,0.45,-0.8450245976261372,-0.6270647193892509,14.735336194563663,928486.9978016327,0
run_20260313_IS_088,15,60,0.5,-0.8465109476197067,-0.6311048033001332,14.735336194563663,931737.1016305194,0
run_20260313_IS_089,15,60,0.55,-0.8485515922508982,-0.6366222799194571,14.735336194563663,935724.7204682487,0
run_20260313_IS_090,15,60,0.6,-0.85155209991686,-0.6446833531182016,14.735336194563663,940721.3059629214,0
run_20260313_IS_091,15,70,0.4,0.2278324105685581,0.8385019363206733,19.027181688125893,1009129.9527469517,0
run_20260313_IS_092,15,70,0.45,0.22894582742322897,0.8380931909453908,19.027181688125893,1008773.3754950177,0
run_20260313_IS_093,15,70,0.5,0.23043659029861285,0.8375777313665536,19.027181688125893,1008345.0336291415,0
run_20260313_IS_094,15,70,0.55,0.23249834230795466,0.836810728988361,19.027181688125893,1007821.7643005052,0
run_20260313_IS_095,15,70,0.6,0.2355366532924522,0.8356807394617611,19.027181688125893,1007164.9584355387,0
run_20260313_IS_096,15,80,0.4,-0.3783611061714472,0.13373744085872355,10.44349070100143,987759.3183223583,0
run_20260313_IS_097,15,80,0.45,-0.37994403943225397,0.1287571962409731,10.44349070100143,988233.6088994583,0
run_20260313_IS_098,15,80,0.5,-0.38206902329954795,0.12210413934381571,10.44349070100143,988802.494707784,0
run_20260313_IS_099,15,80,0.55,-0.38493705715541054,0.11305551963796019,10.44349070100143,989500.4423500106,0
run_20260313_IS_100,15,80,0.6,-0.3892907152633758,0.09949657954114376,10.44349070100143,990370.2162242304,0
run_20260313_IS_101,18,40,0.4,-0.7684994483271422,-0.43227589252455667,9.72818311874106,969603.5554331747,0
run_20260313_IS_102,18,40,0.45,-0.7704267420736338,-0.43695750434834374,9.72818311874106,970803.1485939956,0
run_20260313_IS_103,18,40,0.5,-0.7729826089602566,-0.4431681810774614,9.72818311874106,972241.2642027,0
run_20260313_IS_104,18,40,0.55,-0.776556840358741,-0.4518644682864021,9.72818311874106,974004.4697771817,0
run_20260313_IS_105,18,40,0.6,-0.7818108366832368,-0.46466445644268534,9.72818311874106,976209.5131083649,0
run_20260313_IS_106,18,50,0.4,-0.9161010879023467,-0.8027177151589783,7.142857142857143,955544.252427223,0
run_20260313_IS_107,18,50,0.45,-0.9157773719901215,-0.8027467358922064,7.142857142857143,957282.6332480435,0
run_20260313_IS_108,18,50,0.5,-0.9153424037368773,-0.8027611469421635,7.142857142857143,959375.2943659155,0
run_20260313_IS_109,18,50,0.55,-0.9147464264833975,-0.8027807192746353,7.142857142857143,961936.3567641417,0
run_20260313_IS_110,18,50,0.6,-0.9139366488976054,-0.8028728622594198,7.142857142857143,965141.1385906441,0
